"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Roberto Aguayo",0,16,0,"Career",NA,0,NA,198,69,0,0,NA,NA,"2-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"roberto-aguayo-1",NA,405,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Florida State",1,0,NA,196,NA,NA,NA,0,NA,NA,NA
"2","Michael Badgley",5,18,4.44444444444444,"Career",NA,1,NA,172,77,0,0,NA,NA,"10-May",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"michael-badgley-1",NA,403,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",7,0,"Miami (FL)",8,0,NA,178,NA,NA,NA,0,NA,NA,NA
"3","Dan Bailey",33,138,3.82608695652174,"Career",NA,0,NA,199,57,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dan-bailey-1",NA,370,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",6,0,"Oklahoma State",6,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"4","Chris Boswell",16,74,3.45945945945946,"Career",NA,0,NA,164,65,0,0,NA,NA,"2-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"chris-boswell-1",NA,359,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Rice",1,0,NA,200,NA,NA,NA,0,NA,NA,NA
"5","John Brown",36,87,6.62068965517241,NA,NA,NA,NA,15,6,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john-brown-1",NA,33,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"UCF",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"6","David Buehler",2,36,0.888888888888889,"Career",NA,0,NA,117,26,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"david-buehler-1",NA,195,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,0,"USC",5,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"7","Randy Bullock",15,95,2.52631578947368,"Career",NA,1,NA,176,63,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"randy-bullock-1",NA,365,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,0,"Texas A&M",6,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"8","Harrison Butker",14,45,4.97777777777778,"2013",NA,0,NA,53,10,0,0,NA,13,"4-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"harrison-butker-1",NA,83,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2013",2,0,"Georgia Tech",2,0,NA,199,NA,NA,NA,0,NA,NA,NA
"9","Daniel Carlson",4,28,2.28571428571429,"Career",NA,0,NA,198,92,0,0,NA,NA,"4-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"daniel-carlson-1",1,480,"K",0,NA,0,0,NA,0,1,1,20,20,1,0,NA,"Career",2,0,"Auburn",2,1,NA,223,20,20,NA,0,NA,NA,NA
"10","Chandler Catanzaro",13,77,2.7012987012987,"Career",NA,1,NA,203,67,0,0,NA,NA,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"chandler-catanzaro-1",NA,404,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Clemson",1,0,NA,200,NA,NA,NA,0,NA,NA,NA
"11","Travis Coons",3,19,2.52631578947368,"Career",16,1,1,101,24,0,0,NA,NA,"2-Jun",0,0,0,0,NA,1,0,100,0,16,16,"travis-coons-1",1,173,"K",0,234.4,0,0,NA,0,1,0,19,19,0,0,NA,"Career",2,0,"Washington",3,0,NA,199,19,19,NA,0,NA,NA,NA
"12","Mason Crosby",37,208,2.84615384615385,NA,NA,NA,NA,113,71,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mason-crosby-1",NA,326,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Colorado",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"13","Sam Ficken",1,19,0.842105263157895,"Career",NA,0,NA,109,54,0,0,NA,NA,"2-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"sam-ficken-1",NA,271,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Penn State",3,0,NA,184,NA,NA,NA,0,NA,NA,NA
"14","Nick Folk",26,161,2.58385093167702,NA,NA,0,NA,79,30,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nick-folk-1",1,169,"K",NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,NA,"Career",1,0,"Arizona",1,0,NA,NA,1,1,NA,0,NA,NA,"Career"
"15","Kai Forbath",16,81,3.16049382716049,"Career",NA,NA,NA,102,85,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kai-forbath-1",NA,357,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"UCLA",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ryan Fowler",14,70,3.2,"Career",17.5,NA,1,81,28,NA,NA,NA,NA,"",NA,NA,0,NA,NA,2,NA,50,0,35,17.5,"ryan-fowler-2",NA,165,"K",NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Vanderbilt",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Graham Gano",24,134,2.86567164179104,"Career",NA,3,NA,33,24,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graham-gano-1",3,105,"K",NA,NA,NA,NA,NA,NA,3,0,40,13.3,0,0,NA,"Career",2,0,"Florida State",5,0,NA,NA,40,13.3,NA,0,NA,NA,NA
"18","Stephen Gostkowski",47,204,3.68627450980392,NA,NA,NA,NA,159,70,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stephen-gostkowski-1",NA,369,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Memphis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"19","Garrett Hartley",10,59,2.71186440677966,"Career",NA,2,NA,169,47,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garrett-hartley-1",1,310,"K",NA,NA,NA,NA,NA,NA,1,0,6,6,0,0,NA,"Career",4,0,"Oklahoma",6,0,NA,NA,6,6,NA,0,NA,NA,NA
"20","Alex Henery",8,50,2.56,"Career",NA,2,NA,193,68,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alex-henery-1",2,397,"K",NA,NA,NA,NA,NA,NA,2,0,36,18,0,0,NA,"Career",1,0,"Nebraska",3,0,NA,NA,36,18,NA,0,NA,NA,NA
"21","Dustin Hopkins",15,71,3.38028169014085,"Career",NA,4,NA,202,88,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dustin-hopkins-1",NA,466,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",6,0,"Florida State",10,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"22","Will Johnson",1,63,0.253968253968254,"Career",NA,NA,NA,7,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"will-johnson-1",NA,7,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"San Jose State",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Aaron Jones",21,40,8.4,"Career",NA,0,NA,274,59,0,0,NA,NA,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"aaron-jones-2",NA,451,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Baylor",3,0,NA,190,NA,NA,NA,0,NA,NA,NA
"24","Josh Lambo",17,71,3.83098591549296,"2012",NA,NA,NA,2,NA,NA,NA,NA,2,"Jun-00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"josh-lambo-1",NA,2,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012",NA,NA,"Texas A&M",NA,0,NA,220,NA,NA,NA,NA,NA,NA,NA
"25","Spencer Lanning",3,33,1.45454545454545,"Career",NA,0,NA,80,34,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spencer-lanning-1",1,182,"K",NA,NA,NA,NA,NA,NA,1,0,12,12,0,0,NA,"Career",5,0,"South Carolina",5,0,NA,NA,12,12,NA,0,NA,NA,NA
"26","Shane Lechler",69,286,3.86013986013986,NA,19,NA,2,6,1,NA,NA,NA,NA,"",NA,NA,0,NA,NA,3,NA,66.7,1,37,12.3,"shane-lechler-1",1,9,"K",NA,280.3,NA,NA,NA,NA,1,0,22,22,0,NA,NA,"Career",NA,NA,"Texas A&M",NA,0,NA,NA,22,22,NA,NA,NA,NA,"Career"
"27","Rhys Lloyd",0,50,0,NA,NA,NA,NA,102,26,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rhys-lloyd-1",4,180,"K",NA,NA,NA,NA,NA,NA,4,0,12,3,0,NA,NA,"Career",NA,NA,"Minnesota",NA,0,NA,NA,12,3,NA,NA,NA,NA,"Career"
"28","Wil Lutz",17,64,4.25,"Career",-1,0,1,102,27,0,0,NA,NA,"Jun-00",0,0,0,0,NA,1,0,100,0,-1,-1,"wil-lutz-1",NA,183,"K",0,91.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Georgia State",4,0,NA,190,NA,NA,NA,0,NA,NA,NA
"29","Pat McAfee",21,127,2.64566929133858,"Career",NA,1,NA,210,58,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pat-mcafee-1",NA,384,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",8,0,"West Virginia",9,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"30","Brandon McManus",18,95,3.03157894736842,"Career",NA,3,NA,158,60,0,1,NA,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"brandon-mcmanus-1",4,338,"K",NA,NA,NA,NA,NA,NA,4,0,23,5.8,0,0,NA,"Career",10,0,"Temple",13,0,NA,NA,23,5.8,NA,0,NA,NA,NA
"31","Thomas Morstead",31,174,2.85057471264368,"Career",NA,2,NA,106,37,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thomas-morstead-1",1,217,"K",NA,NA,NA,NA,NA,NA,1,0,34,34,0,0,NA,"Career",2,0,"SMU",4,0,NA,NA,34,34,NA,0,NA,NA,NA
"32","Michael Palardy",8,55,2.32727272727273,"Career",1.7,1,1,109,37,0,0,NA,NA,"11-May",0,0,0,0,NA,3,0,33.3,0,5,1.7,"michael-palardy-1",1,220,"K",0,47.3,0,0,NA,0,1,0,16,16,0,0,NA,"Career",2,0,"Tennessee",3,0,NA,185,16,16,NA,0,NA,NA,NA
"33","Cody Parkey",12,68,2.82352941176471,"Career",NA,0,NA,136,39,0,0,NA,NA,"Jun-00",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"cody-parkey-1",NA,253,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Auburn",1,0,NA,190,NA,NA,NA,0,NA,NA,NA
"34","Matt Prater",38,187,3.25133689839572,NA,NA,0,NA,108,50,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"matt-prater-1",1,258,"K",NA,NA,NA,NA,NA,NA,1,0,-2,-2,0,0,NA,"Career",3,0,"UCF",3,0,NA,NA,-2,-2,NA,0,NA,NA,"Career"
"35","Jason Sanders",6,32,3,"Career",NA,5,NA,111,25,1,0,NA,NA,"11-May",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jason-sanders-1",NA,186,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"New Mexico",8,0,NA,190,NA,NA,NA,0,NA,NA,NA
"36","Cairo Santos",11,67,2.62686567164179,"Career",NA,0,NA,129,61,0,0,NA,NA,"8-May",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"cairo-santos-1",NA,312,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Tulane",2,0,NA,160,NA,NA,NA,0,NA,NA,NA
"37","Jake Scott",69,131,8.42748091603053,"Career",NA,1,NA,25,7,0,0,0,NA,"",0,0,NA,0,0,NA,0,NA,NA,NA,NA,"jake-scott-1",NA,46,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",0,0,"Wyoming",1,0,0,NA,NA,NA,0,0,NA,NA,NA
"38","Brad Smith",20,127,2.51968503937008,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"brad-smith-3",NA,NA,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"USC",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"39","Caleb Sturgis",8,68,1.88235294117647,"Career",NA,4,NA,130,70,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caleb-sturgis-1",NA,340,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",6,0,"Florida",10,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"40","Ryan Succop",31,166,2.98795180722892,"2005",NA,NA,NA,NA,0,NA,NA,NA,2,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ryan-succop-1",0,0,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2005",NA,NA,"South Carolina",NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"41","John Sullivan",67,153,7.00653594771242,"Career",NA,0,NA,30,29,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john-sullivan-1",NA,117,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"New Mexico",1,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"42","Giorgio Tavecchio",3,19,2.52631578947368,"Career",NA,4,NA,112,48,0,0,NA,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"giorgio-tavecchio-1",NA,256,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"California",8,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"43","Justin Tucker",41,128,5.125,"Career",NA,4,NA,71,40,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"justin-tucker-1",3,191,"K",NA,NA,NA,NA,NA,NA,3,0,15,5,0,0,NA,"Career",17,0,"Texas",21,0,NA,NA,15,5,NA,0,NA,NA,NA
"44","Blair Walsh",15,89,2.69662921348315,"Career",NA,0,NA,184,76,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blair-walsh-1",NA,412,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",6,0,"Georgia",6,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"45","Tress Way",15,96,2.5,"Career",NA,0,NA,11,1,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tress-way-1",NA,14,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Oklahoma",2,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"46","Matt Wile",2,22,1.45454545454545,"Career",NA,1,NA,33,20,0,0,NA,NA,"2-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"matt-wile-1",NA,93,"K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Michigan",5,0,NA,219,NA,NA,NA,0,NA,NA,NA
"47","Brad Wing",8,64,2,"Career",-2,0,1,NA,NA,0,0,NA,NA,"",0,0,0,NA,NA,1,0,100,0,-2,-2,"brad-wing-1",1,NA,"K",NA,83.2,NA,NA,NA,NA,1,0,44,44,0,0,NA,"Career",2,0,"LSU",2,NA,NA,NA,44,44,NA,0,NA,NA,NA
